"DIVISION.FAMILY","COMMON.DIVISION.NAME","SPECIES.CODE","SIZE","COMMON.NAME","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES","GROUP"
"Chordates","Fish","SYFU",NA,"northern pipefish","Animalia","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus fuscus","Fish"
"Chordates","Fish","MEAE",NA,"haddock","Animalia","Chordata","Actinopteri","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","Fish"
"Chordates","Fish","MEBI",NA,"silver hake/whiting",NA,NA,NA,NA,NA,NA,"Merluccius biliearis","Fish"
"Chordates","Fish","ZOAM",NA,"ocean pout/congo eel","Animalia","Chordata","Actinopteri","Perciformes","Zoarcidae","Zoarces","Zoarces americanus","Fish"
"Chordates","Fish","STCH",NA,"Scup/porgy","Animalia","Chordata","Actinopteri","Perciformes","Sparidae","Stenotomus","Stenotomus chrysops","Fish"
"Chordates","Fish","ANRO",NA,"american eel","Animalia","Chordata","Actinopteri","Anguilliformes","Anguillidae","Anguilla","Anguilla rostrata","Fish"
"Chordates","Fish","POSA",NA,"Bluefish","Animalia","Chordata","Actinopteri","Perciformes","Pomatomidae","Pomatomus","Pomatomus saltatrix","Fish"
"Chordates","Fish","SPMA",NA,"Northern Puffer","Animalia","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides maculatus","Fish"
"Chordates","Fish","SQAC",NA,"Spiny Dogfish","Animalia","Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus acanthias","Fish"
"Chordates","Fish","CATA",NA,"Sand Tiger Shark","Animalia","Chordata","Elasmobranchii","Lamniformes","Odontaspididae","Carcharias","Carcharias taurus","Fish"
"Chordates","Fish","CYLU",NA,"lumpfish","Animalia","Chordata","Actinopteri","Scorpaeniformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus","Fish"
"Chordates","Fish","HEAM",NA,"Sea raven","Animalia","Chordata","Actinopteri","Scorpaeniformes","Hemitripteridae","Hemitripterus","Hemitripterus americanus","Fish"
"Chordates","Fish","PHGU",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus","Fish"
"Chordates","Fish","MYSP","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ","Fish"
"Chordates","Fish","MYAE",NA,"Grubby sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus aenaues","Fish"
"Chordates","Fish","MYOC",NA,"Long horned sculpin","Animalia","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus octodecemspinosus","Fish"
"Chordates","Fish","MYSC",NA,"Short horned sculpin","Animalia","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius","Fish"
"Chordates","Fish","STPU",NA,"Artic shanny",NA,NA,NA,NA,NA,NA,"Stichaeus punctuatus","Fish"
"Chordates","Fish","EUSP","<15cm","spiny lumpsucker","Animalia","Chordata","Actinopteri","Scorpaeniformes","Cyclopteridae","Eumicrotremus","Eumicrotremus spinosus","Fish"
"Chordates","Fish","LULU",NA,"Snake Blenny",NA,NA,NA,NA,NA,NA,"Lumpenus lumpretaeformis","Fish"
"Chordates","Fish","ULSP",NA,"Shanny",NA,NA,NA,NA,NA,NA,"Ulvaria ","Fish"
"Annelids","Polychaetes","SABW",NA,"Sabellid worm",NA,NA,NA,NA,NA,NA,"Sabella ","Invertebrate"
