YEAR,MONTH,DAY,SITE,TRANSECT,Temperature (C),Start Depth (m),End Depth (m),Visibility (m),NOTES,ENTERED.BY,CHECKED.BY,Start Longitude,Start Latitude,End Latitude,End Longitude
2017,8,29,FTWE,1,18.88888888888889,10,7,3,NA,Austin,Evans,-71.36642105396157,41.4772430268374,,
2017,8,29,FTWE,2,18.88888888888889,8,9,2.5,NA,Austin,Evans,-71.36357101491728,41.47694301723529,,
2017,8,31,FTWE,3,17.77777777777778,9,8,2,NA,Austin,Evans,-71.36173505331384,41.47815799348276,,
2017,8,31,FTWE,4,18.88888888888889,7,10,1.5,NA,Austin,Evans,-71.35942296148146,41.47749503301579,,
