YEAR,MONTH,DATE,SITE,TRANSECT,DISTANCE,SIDE,SP_CODE_0,SUBSTRTE,NOTES,ENTERED BY,CHECKED BY,SP_CODE_1,SP_CODE_2,SP_CODE_3,SP_CODE_4,SP_CODE_5,DAY
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,27.96969697,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,28.45454545,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,28.93939394,I,,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,29.42424242,O,,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,29.90909091,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,30.39393939,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,30.87878788,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,31.36363636,O,PHRU,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,31.84848485,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,32.33333333,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,32.81818182,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,33.3030303,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,33.78787879,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,34.27272727,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,34.75757576,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,35.24242424,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,35.72727273,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,36.21212121,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,36.6969697,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,37.18181818,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,37.66666667,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,38.15151515,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,38.63636364,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,39.12121212,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,39.60606061,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,40.09090909,O,COTR,B,,,,,,,,,24
