"DIVISION.FAMILY","COMMON.DIVISION.NAME","SPECIES.CODE","SIZE","COMMON.NAME","INPUTID","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES","GROUP"
"Chordates","Fish","POSA",NA,"Bluefish","Pomatomus saltatrix","Animalia","Chordata","Actinopterygii","Perciformes","Pomatomidae","Pomatomus","Pomatomus saltatrix","Fish"
"Chordates","Fish","SPMA",NA,"Northern Puffer","Sphoeroides maculatus","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides maculatus","Fish"
"Chordates","Fish","SQAC",NA,"Spiny Dogfish","Squalus acanthias","Animalia","Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus acanthias","Fish"
"Chordates","Fish","CATA",NA,"Sand Tiger Shark","Carcharias taurus","Animalia","Chordata","Elasmobranchii","Lamniformes","Odontaspididae","Carcharias","Carcharias taurus","Fish"
"Chordates","Fish","CYLU",NA,"lumpfish","Cyclopterus lumpus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus","Fish"
"Chordates","Fish","HEAM",NA,"Sea raven","Hemitripterus americanus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hemitripteridae","Hemitripterus","Hemitripterus americanus","Fish"
"Chordates","Fish","PHGU",NA,"Rock gunnel","Pholis gunnellus","Animalia","Chordata","Actinopterygii","Perciformes","Pholidae","Pholis","Pholis gunnellus","Fish"
"Chordates","Fish","MYSP","<10cm","Sculpin","Myoxocephalus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus","Fish"
"Chordates","Fish","MYAE",NA,"Grubby sculpin","Myoxocephalus aenaeus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus aenaeus","Fish"
"Chordates","Fish","MYOC",NA,"Long horned sculpin","Myoxocephalus octodecemspinosus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus octodecemspinosus","Fish"
"Chordates","Fish","MYSC",NA,"Short horned sculpin","Myoxocephalus scorpius","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius","Fish"
"Chordates","Fish","STPU",NA,"Artic shanny","Stichaeus punctatus pulcherrimus","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Stichaeus","Stichaeus punctatus pulcherrimus","Fish"
"Chordates","Fish","EUSP","<15cm","spiny lumpsucker","Eumicrotremus spinosus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cyclopteridae","Eumicrotremus","Eumicrotremus spinosus","Fish"
"Chordates","Fish","LULU",NA,"Snake Blenny","Lumpenus lampretaeformis","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Lumpenus","Lumpenus lampretaeformis","Fish"
"Chordates","Fish","ULSP",NA,"Shanny","Ulvaria","Plantae","Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Ulvaria","Ulvaria","Fish"
"Annelids","Polychaetes","SABW",NA,"Sabellid worm","Sabella","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Sabella","Sabella","Invertebrate"
"Annelids","Polychaetes","HYDI",NA,"Serpulid","Hydroides dianthus","Animalia","Annelida","Polychaeta","Sabellida","Serpulidae","Hydroides","Hydroides dianthus","Invertebrate"
